level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,8,5,1,1,3,318,584,186,21,96.621452,documentation
4,8,5,1,2,0,79,626,732,23,-1,
5,8,5,1,2,1,79,628,73,21,25.079239,https:
5,8,5,1,2,2,159,626,652,23,25.079239,//www.postgresql.org/docs/9.6/ddl-constraints.html
2,8,6,0,0,0,892,0,116,110,-1,
3,8,6,1,0,0,892,0,116,110,-1,
4,8,6,1,1,0,892,0,116,110,-1,
5,8,6,1,1,1,892,0,116,110,95.000000, 
2,8,7,0,0,0,974,735,15,11,-1,
3,8,7,1,0,0,974,735,15,11,-1,
4,8,7,1,1,0,974,735,15,11,-1,
5,8,7,1,1,1,974,735,15,11,93.525482,24
1,9,0,0,0,0,0,0,1008,756,-1,
2,9,1,0,0,0,892,0,116,110,-1,
3,9,1,1,0,0,892,0,116,110,-1,
4,9,1,1,1,0,892,0,116,110,-1,
5,9,1,1,1,1,892,0,116,110,95.000000, 
2,9,2,0,0,0,79,231,431,20,-1,
3,9,2,1,0,0,79,231,431,20,-1,
4,9,2,1,1,0,79,231,431,20,-1,
5,9,2,1,1,1,79,231,57,17,96.765381,DROP
5,9,2,1,1,2,149,231,85,17,96.299706,DOMAIN
5,9,2,1,1,3,253,232,20,15,85.048569,IF
5,9,2,1,1,4,293,231,80,17,92.939133,EXISTS
5,9,2,1,1,5,392,232,118,19,91.894287,cooktemp;
2,9,3,0,0,0,79,284,558,48,-1,
3,9,3,1,0,0,79,284,558,48,-1,
4,9,3,1,1,0,79,284,408,20,-1,
5,9,3,1,1,1,79,284,84,16,96.648521,CREATE
5,9,3,1,1,2,177,284,85,17,93.210052,DOMAIN
5,9,3,1,1,3,279,285,107,19,91.992142,cooktemp
5,9,3,1,1,4,404,284,27,17,96.720085,AS
5,9,3,1,1,5,448,285,39,15,95.689728,INT
4,9,3,1,2,0,107,309,530,23,-1,
5,9,3,1,2,1,107,310,70,16,93.196121,CHECK
5,9,3,1,2,2,196,309,5,23,92.836006,(
5,9,3,1,2,3,219,311,71,16,95.630768,VALUE
5,9,3,1,2,4,302,314,31,13,95.630768,>=
5,9,3,1,2,5,350,311,36,16,96.541405,100
5,9,3,1,2,6,402,311,45,15,96.454399,AND
5,9,3,1,2,7,459,311,71,16,93.284126,VALUE
5,9,3,1,2,8,547,309,90,23,91.538521,<=250);
2,9,4,0,0,0,79,361,489,101,-1,
3,9,4,1,0,0,79,361,489,101,-1,
4,9,4,1,1,0,79,361,306,23,-1,
5,9,4,1,1,1,79,362,84,16,96.658646,CREATE
5,9,4,1,1,2,177,363,71,15,96.497231,TABLE
5,9,4,1,1,3,268,363,88,19,92.867760,receipe
5,9,4,1,1,4,379,361,6,23,92.649536,(
4,9,4,1,2,0,109,388,401,23,-1,
5,9,4,1,2,1,109,395,53,10,92.931320,name
5,9,4,1,2,2,176,388,152,23,92.563324,VARCHAR(30)
5,9,4,1,2,3,347,390,99,15,96.209320,PRIMARY
5,9,4,1,2,4,461,390,49,18,96.280396,KEY,
4,9,4,1,3,0,109,416,179,19,-1,
5,9,4,1,3,1,109,418,52,17,91.070557,temp
5,9,4,1,3,2,180,416,108,19,90.873856,cooktemp
4,9,4,1,4,0,106,442,462,20,-1,
5,9,4,1,4,1,106,451,29,1,88.820412,—
5,9,4,1,4,2,152,442,36,15,91.802437,and
5,9,4,1,4,3,210,442,118,20,96.795113,obviously
5,9,4,1,4,4,351,442,63,15,96.609009,other
